id	hiredate	firstname	lastname	salary	city	state	zipcode	department
467	2010-01-03 09:00:00	Albert	Carter	51000	Fresno	CA	93762	Sales
468	2010-01-03 09:00:00	Frances	Woodson	56400	Fresno	CA	93674	Customer Support
469	2010-01-03 09:00:00	Janet	Raymond	74000	Sacramento	CA	95672	Marketing
470	2010-01-10 09:00:00	Howard	Norton	61200	Eugene	OR	97462	Operations
471	2010-01-10 09:00:00	James	O'Neal	56700	Mojave	CA	93511	Sales
472	2010-01-10 09:00:00	Jennifer	Sayre	65300	Bakersfield	CA	93201	Corporate Services
473	2010-01-10 09:00:00	Kirby	Guerra	85400	Anaheim	CA	92814	IT
474	2010-01-10 09:00:00	Louis	Hand	78700	Santa Monica	CA	90403	Technical Publications
475	2010-01-10 09:00:00	Nora	Howell	66000	Klamath Falls	OR	97653	Operations
476	2010-01-10 09:00:00	Raul	Kane	42000	Glendale	CA	91221	Facilities Management
477	2010-01-17 09:00:00	Donald	Santana	37900	Salinas	CA	93982	Facilities Management
478	2010-01-17 09:00:00	Eloise	Schneider	59100	Bakersfield	CA	93237	Sales
479	2010-01-17 09:00:00	Henry	Abel	65000	Santa Barbara	CA	93147	Sales
480	2010-01-17 09:00:00	Mary	Lindsay	55900	San Diego	CA	92008	Sales
481	2010-01-17 09:00:00	Nicholas	Marlow	80800	Van Nuys	CA	91350	IT
482	2010-01-17 09:00:00	Pauline	Jolley	134500	Los Angeles	CA	90167	Legal
483	2010-01-17 09:00:00	Wayne	Waller	56500	Mojave	CA	93529	Sales
484	2010-01-24 09:00:00	Abe	Spurgeon	75800	Fresno	CA	93829	IT
485	2010-01-24 09:00:00	Elena	Martinelli	76600	Inglewood	CA	90368	Web Development
486	2010-01-24 09:00:00	Jennifer	Sunderland	85100	Van Nuys	CA	91382	IT
487	2010-01-24 09:00:00	Joan	Goetz	64600	Burbank	CA	91501	Facilities Management
488	2010-01-24 09:00:00	Julian	Thomas	63300	Mojave	CA	93559	Operations
489	2010-01-24 09:00:00	Maria	Meza	50600	Bend	OR	97767	Sales
490	2010-01-24 09:00:00	Raymond	Emmons	54900	Eureka	CA	95560	Sales
491	2010-01-31 09:00:00	Amy	Fleener	87100	San Diego	CA	92157	Engineering
492	2010-01-31 09:00:00	Debra	Ray	61400	Salinas	CA	93936	Facilities Management
493	2010-01-31 09:00:00	Edgar	Walker	72300	San Jose	CA	95198	Operations
494	2010-01-31 09:00:00	Jessica	Tobias	99900	Van Nuys	CA	91435	Business Intelligence
495	2010-01-31 09:00:00	Joseph	Hinton	72500	Alhambra	CA	91857	Operations
496	2010-01-31 09:00:00	Kathryn	Torres	91700	Glendale	CA	91277	Engineering
497	2010-01-31 09:00:00	Krista	Mason	139900	Sacramento	CA	95825	Legal
498	2010-01-31 09:00:00	Steven	Blankenship	58200	Santa Rosa	CA	95471	Sales
499	2010-02-07 09:00:00	Alina	Holmquist	51800	Alhambra	CA	91876	Sales
500	2010-02-07 09:00:00	David	Eldred	76300	Santa Barbara	CA	93462	IT
501	2010-02-07 09:00:00	Marie	Olsen	104100	Oakland	CA	94505	Engineering
502	2010-02-07 09:00:00	Phyllis	Deming	70400	San Bernardino	CA	92482	Operations
503	2010-02-07 09:00:00	Sam	Lewis	53000	Santa Barbara	CA	93441	Customer Support
504	2010-02-14 09:00:00	Bennie	Stumpf	62400	San Mateo	CA	94425	Operations
505	2010-02-21 09:00:00	Barbara	Hackler	52200	Inglewood	CA	90398	Sales
506	2010-02-21 09:00:00	Chris	Sommers	87000	Marysville	CA	95986	Regulatory Compliance
507	2010-02-21 09:00:00	Karen	Cabral	101900	Stockton	CA	95298	Accounting
508	2010-02-21 09:00:00	Thomas	Beard	72200	Van Nuys	CA	91343	Operations
509	2010-02-21 09:00:00	Ursula	Freed	57900	Sacramento	CA	95718	Operations
510	2010-02-28 09:00:00	Andrea	Clemons	65100	Oakland	CA	94680	Regulatory Compliance
511	2010-02-28 09:00:00	Charles	Byars	62900	Marysville	CA	95904	Purchasing
512	2010-02-28 09:00:00	Megan	Polk	67600	Portland	OR	97208	Operations
