id	hiredate	firstname	lastname	salary	city	state	zipcode	department
794	2011-01-02 09:00:00	Charles	Baskin	60100	Santa Monica	CA	90481	Operations
795	2011-01-02 09:00:00	Cody	Wells	55100	San Diego	CA	92038	Corporate Communication
796	2011-01-02 09:00:00	Denise	Orr	64000	Santa Barbara	CA	93477	Technical Publications
797	2011-01-02 09:00:00	Elias	Bronson	162600	Santa Ana	CA	92658	Legal
798	2011-01-02 09:00:00	Guadalupe	Koss	93200	Oakland	CA	94594	IT
799	2011-01-02 09:00:00	Jerry	Morrow	43700	Palo Alto	CA	94376	Customer Support
800	2011-01-02 09:00:00	Virginia	Bonds	39800	Portland	OR	97052	Facilities Management
801	2011-01-09 09:00:00	Brenda	Gallegos	61700	Medford	OR	97521	Operations
802	2011-01-09 09:00:00	Penelope	Rowe	54500	Long Beach	CA	90615	Sales
803	2011-01-09 09:00:00	Richard	Robertson	70400	Klamath Falls	OR	97620	Operations
804	2011-01-09 09:00:00	Ryan	Maurer	83900	Santa Barbara	CA	93144	Accounting
805	2011-01-09 09:00:00	Sonia	Schwartz	77100	San Mateo	CA	94488	Human Resources
806	2011-01-16 09:00:00	Catherine	Scoville	58900	Ely	NV	89348	Operations
807	2011-01-16 09:00:00	Dion	Fletcher	54500	Klamath Falls	OR	97665	Sales
808	2011-01-16 09:00:00	Dorothy	Delarosa	156800	North Hollywood	CA	91621	Executive
809	2011-01-16 09:00:00	Gus	Denney	123100	Santa Rosa	CA	95441	Legal
810	2011-01-16 09:00:00	Jane	Lopez	44100	Oxnard	CA	93092	Sales
811	2011-01-16 09:00:00	Joann	Schneider	78100	Santa Ana	CA	92722	Technical Publications
812	2011-01-16 09:00:00	Louis	Castillo	44600	Salem	OR	97309	Customer Support
813	2011-01-16 09:00:00	Natasha	Brown	72800	Los Angeles	CA	90126	Technical Publications
814	2011-01-16 09:00:00	Orville	Briggs	59700	Ely	NV	89398	Operations
815	2011-01-16 09:00:00	Preston	Robbins	48400	Inglewood	CA	90230	Facilities Management
816	2011-01-16 09:00:00	Roosevelt	Maxfield	61400	Pendleton	OR	97861	Sales
817	2011-01-16 09:00:00	Sandy	Moore	94600	Bend	OR	97701	Engineering
818	2011-01-16 09:00:00	Seth	Ambriz	72600	Las Vegas	NV	89184	Operations
819	2011-01-16 09:00:00	Shelia	Ashby	74100	Portland	OR	97105	Operations
820	2011-01-16 09:00:00	Stephanie	Meador	43700	Sacramento	CA	95856	Customer Support
821	2011-01-16 09:00:00	Xavier	Milligan	49200	Fresno	CA	93749	Facilities Management
822	2011-01-23 09:00:00	Edward	Floyd	46300	Anaheim	CA	92896	Customer Support
823	2011-01-23 09:00:00	Horace	Arana	137000	Los Angeles	CA	90178	Data Science
824	2011-01-23 09:00:00	Lisa	Meade	61700	Pendleton	OR	97836	Sales
825	2011-01-23 09:00:00	Martha	Hatton	53500	Elko	NV	89882	Operations
826	2011-01-23 09:00:00	Ruth	Dunlap	47100	San Francisco	CA	94058	Sales
827	2011-01-30 09:00:00	Alvin	Lynch	42300	Burbank	CA	91511	Customer Support
828	2011-01-30 09:00:00	Edmund	Hamblin	71300	Santa Ana	CA	92721	Quality Assurance
829	2011-01-30 09:00:00	Linda	Morse	60600	Bend	OR	97770	Operations
830	2011-01-30 09:00:00	Linda	Sullivan	49200	Los Angeles	CA	90062	Sales
831	2011-01-30 09:00:00	Marion	Settle	53300	Berkeley	CA	94762	Operations
832	2011-01-30 09:00:00	Mark	Turner	47000	Richmond	CA	94804	Customer Support
833	2011-01-30 09:00:00	Nina	Davis	41900	Berkeley	CA	94743	Customer Support
834	2011-01-30 09:00:00	Patricia	Tinsley	49100	Las Vegas	NV	88943	Facilities Management
835	2011-02-06 09:00:00	Andrea	Turner	42700	Salem	OR	97323	Facilities Management
836	2011-02-06 09:00:00	Bruce	O'Reilly	53600	Salinas	CA	93980	Sales
837	2011-02-06 09:00:00	Christine	Pearsall	91300	Berkeley	CA	94731	Business Intelligence
838	2011-02-06 09:00:00	Clarence	Joyce	55500	Industry	CA	91754	Sales
839	2011-02-06 09:00:00	Conrad	Daugherty	55300	Los Angeles	CA	90149	Operations
840	2011-02-06 09:00:00	Erick	Helm	152100	Fresno	CA	93784	Data Science
841	2011-02-06 09:00:00	Gloria	Tarr	69000	Klamath Falls	OR	97652	Operations
842	2011-02-06 09:00:00	Jackson	Kimura	54600	San Diego	CA	92004	Sales
