id	hiredate	firstname	lastname	salary	city	state	zipcode	department
1	2008-07-20 09:00:00	Leo	Kimson	191800	Berkeley	CA	94783	Executive
2	2008-07-20 09:00:00	Jeff	Burrell	182500	San Francisco	CA	94189	Data Science
3	2008-07-20 09:00:00	Arama	Halldaw	183100	Palo Alto	CA	94382	Engineering
4	2008-07-20 09:00:00	Nancy	Mackey	141100	Palo Alto	CA	94382	Legal
5	2008-07-20 09:00:00	Patrick	Gale	69000	Oakland	CA	94605	Web Development
6	2008-08-03 09:00:00	Ruth	Ortiz	53600	San Francisco	CA	94195	Customer Support
7	2008-08-03 09:00:00	Vivian	Everett	68900	Santa Rosa	CA	94930	Quality Assurance
8	2008-08-10 09:00:00	Randy	Bowens	96200	San Francisco	CA	94068	Marketing
9	2008-08-17 09:00:00	Bonnie	Herrera	71800	San Mateo	CA	94489	Sales
10	2008-08-17 09:00:00	Gina	Beckman	56100	Oakland	CA	94652	Operations
11	2008-08-17 09:00:00	Willie	Sheets	78300	Santa Rosa	CA	94964	Facilities Management
12	2008-08-18 09:00:00	Christina	Kindle	70000	Oakland	CA	94518	Web Development
13	2008-08-20 09:00:00	Bennie	Davey	104600	Sacramento	CA	94274	IT
14	2008-08-21 09:00:00	George	Henley	89000	San Francisco	CA	94048	Engineering
15	2008-08-21 09:00:00	Jason	Frankel	160500	Palo Alto	CA	94337	Legal
16	2008-08-21 09:00:00	Thomas	Shannon	69000	San Francisco	CA	94007	Sales
17	2008-08-24 09:00:00	Wilfred	Lowery	153000	San Francisco	CA	94162	Legal
18	2008-08-27 09:00:00	Henry	Zimmer	79600	Santa Rosa	CA	94967	Business Intelligence
19	2008-08-28 09:00:00	Bonnie	Humphreys	122100	San Francisco	CA	94004	Web Development
20	2008-08-28 09:00:00	Rose	Englert	73100	Santa Rosa	CA	94945	Operations
21	2008-08-31 09:00:00	Brenda	Hamlin	101900	Berkeley	CA	94783	Human Resources
22	2008-08-31 09:00:00	Edmond	Daigle	99700	San Mateo	CA	94442	Web Development
23	2008-08-31 09:00:00	Jerry	Gardiner	91000	Santa Rosa	CA	94908	Operations
24	2008-08-31 09:00:00	Marion	Berlin	90400	Santa Rosa	CA	94906	IT
25	2008-09-01 09:00:00	Elmer	Hendrix	119800	Berkeley	CA	94721	Accounting
26	2008-09-03 09:00:00	Lydia	Ley	98300	San Francisco	CA	94071	Marketing
27	2008-09-04 09:00:00	Joe	Keith	96100	Berkeley	CA	94766	IT
28	2008-09-04 09:00:00	Mark	Kemp	186100	Santa Rosa	CA	94998	Legal
29	2008-09-07 09:00:00	Maria	Bone	66900	San Mateo	CA	94484	Sales
30	2008-09-08 09:00:00	Danielle	Jones	165600	San Francisco	CA	94105	Data Science
31	2008-09-08 09:00:00	Joyce	Jennings	121300	San Francisco	CA	94122	Accounting
32	2008-09-08 09:00:00	Nicole	Sain	167100	San Francisco	CA	94011	Data Science
33	2008-09-08 09:00:00	Tony	Large	104000	Sacramento	CA	94205	Business Intelligence
34	2008-09-10 09:00:00	Diana	Williams	117500	Santa Rosa	CA	94942	Business Intelligence
35	2008-09-10 09:00:00	Noe	Delvalle	179000	Berkeley	CA	94761	Executive
