id	hiredate	firstname	lastname	salary	city	state	zipcode	department
147	2009-01-01 09:00:00	Jennifer	Cox	150900	Eureka	CA	95565	Data Science
148	2009-01-04 09:00:00	Bradford	Sims	84600	Berkeley	CA	94740	Web Development
149	2009-01-04 09:00:00	Jean	Easley	73100	Sacramento	CA	94205	Operations
150	2009-01-04 09:00:00	Lillian	Turner	83300	Eureka	CA	95555	Business Intelligence
151	2009-01-04 09:00:00	Scotty	Valdez	71900	Richmond	CA	94889	Sales
152	2009-01-11 09:00:00	Cassandra	Kent	76500	Richmond	CA	94813	Web Development
153	2009-01-12 09:00:00	Douglas	Ray	93900	Marysville	CA	95945	IT
154	2009-01-12 09:00:00	Emily	Boyd	70100	San Jose	CA	95195	Human Resources
155	2009-01-18 09:00:00	Julie	Irving	90400	Sacramento	CA	95858	Web Development
156	2009-01-18 09:00:00	Marie	Lawson	162600	Sacramento	CA	95736	Legal
157	2009-01-18 09:00:00	Victor	Smith	58800	Sacramento	CA	95770	Facilities Management
158	2009-01-25 09:00:00	Damien	Stitt	76500	Oakland	CA	94504	IT
159	2009-01-25 09:00:00	Melba	Jones	48000	Sacramento	CA	94274	Customer Support
160	2009-01-25 09:00:00	Shane	Bradshaw	62900	San Francisco	CA	94195	Corporate Communication
161	2009-01-26 09:00:00	Christina	Perkins	53800	San Jose	CA	95074	Operations
162	2009-01-29 09:00:00	Cynthia	Landry	83700	Eureka	CA	95572	Web Development
163	2009-02-01 09:00:00	Jose	Toro	90900	Sacramento	CA	95860	IT
164	2009-02-05 09:00:00	Hazel	Carney	70900	San Mateo	CA	94484	Sales
165	2009-02-05 09:00:00	Margarita	May	53900	Palo Alto	CA	94378	Sales
166	2009-02-05 09:00:00	Randal	Brinkley	145900	Eureka	CA	95591	Legal
167	2009-02-08 09:00:00	Morris	Boles	99500	Berkeley	CA	94785	Business Intelligence
168	2009-02-08 09:00:00	Theodore	Dennis	87700	San Mateo	CA	94446	IT
169	2009-02-09 09:00:00	Delores	Leibowitz	57500	Sacramento	CA	95626	Sales
170	2009-02-11 09:00:00	Abigail	Breaux	63600	Sacramento	CA	95798	Sales
171	2009-02-11 09:00:00	Michelle	Lister	84200	Palo Alto	CA	94398	Operations
172	2009-02-15 09:00:00	Anne	Griffith	75600	San Jose	CA	95035	Facilities Management
173	2009-02-15 09:00:00	Catherine	Santos	102000	Sacramento	CA	95741	Web Development
174	2009-02-15 09:00:00	Shelby	Garcia	101800	Eureka	CA	95565	Web Development
175	2009-02-15 09:00:00	Stacy	Fiore	55900	Sacramento	CA	95772	Sales
176	2009-02-16 09:00:00	Ann	Bond	47400	Sacramento	CA	95761	Facilities Management
177	2009-02-16 09:00:00	Darren	Medina	46700	Santa Rosa	CA	95401	Customer Support
178	2009-02-16 09:00:00	Justin	Brewer	63200	Oakland	CA	94554	Operations
179	2009-02-22 09:00:00	Don	Velasquez	55300	Marysville	CA	95923	Sales
180	2009-02-22 09:00:00	Elizabeth	Santoyo	105200	Santa Rosa	CA	94940	Business Intelligence
181	2009-02-23 09:00:00	Alexis	Swanson	89300	Berkeley	CA	94778	Web Development
182	2009-02-23 09:00:00	Dewey	Clingman	49200	Sacramento	CA	95821	Customer Support
183	2009-02-23 09:00:00	Larry	Holliday	95300	Richmond	CA	94863	Technical Publications
184	2009-02-23 09:00:00	Peter	Creekmore	93100	Sacramento	CA	95836	Quality Assurance
185	2009-02-26 09:00:00	Ana	Vickers	85300	Sacramento	CA	95877	Corporate Communication
186	2009-03-01 09:00:00	Justine	Powell	70500	Eureka	CA	95544	Operations
187	2009-03-08 09:00:00	Jarrod	Hampton	53400	Berkeley	CA	94736	Facilities Management
188	2009-03-08 09:00:00	Joey	Delvalle	145700	Eureka	CA	95590	Legal
189	2009-03-08 09:00:00	Mildred	Schwartz	68100	Sacramento	CA	95638	IT
190	2009-03-09 09:00:00	Ira	Osborn	80300	Stockton	CA	95260	Corporate Services
191	2009-03-09 09:00:00	Robert	Felder	51400	Marysville	CA	95911	Facilities Management
192	2009-03-11 09:00:00	Kelly	Beckett	98600	Sacramento	CA	95612	Business Intelligence
193	2009-03-12 09:00:00	Christopher	Nickerson	64600	Sacramento	CA	94229	Corporate Services
194	2009-03-15 09:00:00	Rachel	Ford	91100	Richmond	CA	94894	IT
195	2009-03-15 09:00:00	Thomas	Sellars	82700	Sacramento	CA	95701	Human Resources
196	2009-03-16 09:00:00	Howard	Rubin	102300	Stockton	CA	95311	Business Intelligence
197	2009-03-18 09:00:00	Larry	Hartfield	75700	Berkeley	CA	94795	Marketing
198	2009-03-22 09:00:00	Alexander	Odea	58700	Santa Rosa	CA	95478	Customer Support
199	2009-03-22 09:00:00	Jennifer	Devlin	62600	Stockton	CA	95206	Quality Assurance
200	2009-03-22 09:00:00	Jesse	Lippert	85500	Stockton	CA	95230	Technical Publications
201	2009-03-22 09:00:00	Scott	Zambrano	111000	San Jose	CA	95025	Executive
202	2009-03-22 09:00:00	Shirley	Fuchs	56100	Richmond	CA	94840	Facilities Management
203	2009-03-29 09:00:00	Antonio	Gamble	84500	San Jose	CA	95176	IT
204	2009-03-29 09:00:00	Monty	Atherton	49200	Santa Rosa	CA	95468	Facilities Management
205	2009-03-29 09:00:00	Patricia	Belanger	56400	Eureka	CA	95567	Sales
206	2009-03-30 09:00:00	Latoya	Goddard	77100	Richmond	CA	94830	Regulatory Compliance
207	2009-04-05 09:00:00	Christina	Buck	167200	Santa Rosa	CA	95450	Legal
208	2009-04-05 09:00:00	Theresa	Patin	45700	San Francisco	CA	94098	Customer Support
209	2009-04-06 09:00:00	Kevin	Spear	125400	Palo Alto	CA	94315	Business Intelligence
210	2009-04-06 09:00:00	Richard	Rivera	54500	San Jose	CA	95002	Sales
211	2009-04-06 09:00:00	Robert	Brogan	70100	Oakland	CA	94581	Operations
212	2009-04-06 09:00:00	Robert	Turner	98400	San Francisco	CA	94134	IT
213	2009-04-06 09:00:00	Tammy	Shields	87600	Marysville	CA	95964	Business Intelligence
214	2009-04-12 09:00:00	Opal	Hubbard	131100	Oakland	CA	94538	Legal
215	2009-04-13 09:00:00	Ashley	Matthews	88500	Sacramento	CA	95807	Technical Publications
216	2009-04-13 09:00:00	Barbara	Brown	47600	San Mateo	CA	94467	Customer Support
217	2009-04-13 09:00:00	Daniel	Schmidt	45300	San Mateo	CA	94464	Customer Support
218	2009-04-13 09:00:00	Diane	Baker	71100	Santa Rosa	CA	95440	Operations
219	2009-04-13 09:00:00	Mary	Jensen	180800	Sacramento	CA	95828	Data Science
220	2009-04-19 09:00:00	Emily	Irving	73700	Santa Rosa	CA	94929	Technical Publications
221	2009-04-20 09:00:00	Brandi	Garcia	71600	Stockton	CA	95219	Operations
222	2009-04-20 09:00:00	Steven	Colter	74400	Sacramento	CA	95698	IT
223	2009-04-26 09:00:00	Adam	Foote	64000	San Mateo	CA	94401	Purchasing
224	2009-04-26 09:00:00	Jerry	Israel	73800	San Francisco	CA	94002	Quality Assurance
225	2009-04-26 09:00:00	John	Oswald	78600	San Francisco	CA	94170	Human Resources
226	2009-04-27 09:00:00	Bonnie	Duffy	85200	Sacramento	CA	94252	Marketing
227	2009-04-30 09:00:00	Elwood	Parent	63600	Oakland	CA	94583	Marketing
228	2009-05-04 09:00:00	Gloria	Taylor	75200	Oakland	CA	94512	Operations
229	2009-05-04 09:00:00	Joshua	Babb	83100	Oakland	CA	94609	Technical Publications
230	2009-05-04 09:00:00	Velma	Webster	72300	Berkeley	CA	94714	Facilities Management
231	2009-05-06 09:00:00	Molly	Soto	99500	Santa Rosa	CA	94921	Engineering
232	2009-05-10 09:00:00	Issac	Johnson	89500	San Mateo	CA	94498	Marketing
233	2009-05-10 09:00:00	Penelope	Kelley	76700	Stockton	CA	95286	Operations
234	2009-05-10 09:00:00	Robert	Smith	92800	San Jose	CA	95161	Regulatory Compliance
235	2009-05-11 09:00:00	David	Chavis	72300	San Mateo	CA	94493	Sales
236	2009-05-11 09:00:00	Tamara	Simpson	58400	Berkeley	CA	94755	Customer Support
237	2009-05-17 09:00:00	Hazel	McRee	60600	San Francisco	CA	94004	Customer Support
238	2009-05-18 09:00:00	Arlene	Gamble	108100	Eureka	CA	95547	Business Intelligence
239	2009-05-18 09:00:00	Evelyn	Cabrera	96100	Eureka	CA	95596	IT
240	2009-05-18 09:00:00	Nancy	Anderson	70700	Sacramento	CA	95716	Technical Publications
241	2009-05-18 09:00:00	Tina	Beverly	77300	Stockton	CA	95206	Technical Publications
242	2009-05-20 09:00:00	Jesse	Copley	91000	San Mateo	CA	94465	IT
243	2009-05-21 09:00:00	Jean	Hall	54000	San Francisco	CA	94142	Customer Support
244	2009-05-21 09:00:00	Laura	Mulligan	90500	Stockton	CA	95292	Regulatory Compliance
245	2009-05-21 09:00:00	Maria	Thomas	75300	Stockton	CA	95316	Quality Assurance
246	2009-05-24 09:00:00	Alan	Nelson	58800	Marysville	CA	95932	Sales
247	2009-05-24 09:00:00	Hannah	Bravo	87900	Oakland	CA	94506	Operations
248	2009-05-24 09:00:00	Linda	Hunter	63000	Oakland	CA	94550	Corporate Communication
249	2009-05-25 09:00:00	Martha	Harms	65200	San Mateo	CA	94457	Sales
250	2009-05-28 09:00:00	Dana	Fulton	87300	Stockton	CA	95210	Engineering
251	2009-05-31 09:00:00	Karen	Contreras	104900	San Mateo	CA	94474	Engineering
252	2009-05-31 09:00:00	Tammy	Meek	55000	Stockton	CA	95323	Sales
253	2009-06-01 09:00:00	Micah	Dunlap	81200	Oakland	CA	94545	IT
254	2009-06-01 09:00:00	Michael	Shannon	112100	Sacramento	CA	95848	Legal
255	2009-06-01 09:00:00	Steven	Knighton	104000	Marysville	CA	95935	Business Intelligence
256	2009-06-03 09:00:00	Sarah	Funkhouser	66200	San Francisco	CA	94172	Corporate Services
